libehca,unmapped,
bnx2fc,unmapped,
bnx2i,unmapped,
bnx2x,unmapped,
cc-eal4-config-rhel62,unmapped,
cnic,unmapped,
compat-locales-sap,unmapped,
dvipdfm,unmapped,
dvipdfmx,unmapped,
esound,unmapped,
glibc32,unmapped,
glibc64,unmapped,
gnome-vfsmm26,unmapped,
gtkglext,unmapped,
hpsa,unmapped,
hpwdt,unmapped,
ht2html,unmapped,
iasl,unmapped,
igb,unmapped,
igb-kmod,unmapped,
ixgbe,unmapped,
jakarta-commons-beanutils,unmapped,
jlex,unmapped,
jrefactory,unmapped,
kernel-ksb,unmapped,
libgnomemm26,unmapped,
mlx4_en,unmapped,
mlx4_ib,unmapped,
pch_gbe,unmapped,
redhat-release-client,unmapped,
redhat-release-server,unmapped,
389-ds-base,SBR-Idm,,
ConsoleKit,SBR-Services,,
ElectricFence,SBR-Tools,,
GConf2,SBR-Desktop,,
ImageMagick,SBR-Desktop,,
MAKEDEV,SBR-Shells,,
ModemManager,SBR-Desktop,,
MySQL-python,SBR-Services,,
NetworkManager,SBR-Services,,
NetworkManager-openswan,SBR-Services,,
ORBit2,SBR-Desktop,,
OpenEXR,SBR-Desktop,,
OpenIPMI,SBR-Services,,
PackageKit,SBR-Anaconda,,
PyGreSQL,SBR-Services,,
PyPAM,SBR-Shells,SBR-Idm,
PyQt4,SBR-Shells,,
PyXML,SBR-Shells,,
SDL,SBR-Desktop,,
SOAPpy,SBR-Shells,,
TurboGears2,SBR-Desktop,,
Xaw3d,SBR-Desktop,,
abrt,SBR-Desktop,,
abyssinica-fonts,SBR-Desktop,,
acpid,SBR-Services,,
aide,SBR-Services,,
akonadi,SBR-Desktop,,
alacarte,SBR-Desktop,,
alsa-lib,SBR-Desktop,,
alsa-utils,SBR-Desktop,,
amanda,SBR-Services,,
amtu,SBR-Shells,,
anaconda-yum-plugins,SBR-Anaconda,,
ant,SBR-Tools,,
apache-tomcat-apis,SBR-Webservers,,
apr,SBR-Services,,
apr-util,SBR-Services,,
arptables_jf,SBR-Shells,,
arpwatch,SBR-Shells,,
arts,SBR-Desktop,,
aspell,SBR-Shells,,
at,SBR-Services,,
at-spi,SBR-Desktop,,
atk,SBR-Desktop,,
atlas,SBR-Tools,,
atmel-firmware,SBR-Kernel,,
attr,SBR-Filesystem,,
audiofile,SBR-Desktop,,
audit,SBR-Services,,
audit-viewer,SBR-Services,,
augeas,SBR-Services,,
authconfig,SBR-Shells,,
authd,SBR-Services,,
autoconf,SBR-Tools,,
autofs,SBR-Filesystem,,
automake,SBR-Tools,,
automoc,SBR-Tools,,
avahi,SBR-Services,,
avalon-framework,SBR-Tools,,
avalon-logkit,SBR-Tools,,
axis,SBR-Webservers,,
b43-openfwwf,SBR-Kernel,,
babel,SBR-Shells,,
babl,SBR-Desktop,,
bash,SBR-Shells,,
batik,SBR-Tools,,
bc,SBR-Shells,,
bcel,SBR-Tools,,
bfa-firmware,SBR-Storage,,
bind,SBR-Services,,
bind-dyndb-ldap,SBR-Services,,
binutils,SBR-Shells,,
biosdevname,SBR-Shells,SBR-Kernel,
bison,SBR-Tools,,
blktrace,SBR-Storage,,
bltk,SBR-Services,,
bluez,SBR-Shells,,
boost,SBR-Services,SBR-Tools,
bridge-utils,SBR-Kernel,SBR-Shells,
brltty,SBR-Services,,
bsf,SBR-Tools,,
btrfs-progs,SBR-Filesystem,,
busybox,SBR-Desktop,,
byacc,SBR-Tools,,
bzip2,SBR-Shells,,
bzr,SBR-Shells,,
c-ares,SBR-Services,,
c2050,SBR-Services,,
c2070,SBR-Services,,
cachefilesd,SBR-Storage,SBR-Services,
cairo,SBR-Desktop,,
cairomm,SBR-Desktop,,
cas,SBR-Shells,SBR-Kernel,
cdrdao,SBR-Shells,,
celt051,SBR-Nontechnical,,
certmonger,SBR-Idm,,
check,SBR-Tools,SBR-Shells,
checkpolicy,SBR-Shells,,
cheese,SBR-Desktop,,
chkconfig,SBR-Shells,SBR-Services,
chrpath,SBR-Tools,,
cifs-utils,SBR-Filesystem,,
cim-schema,SBR-Tools,,
cjet,SBR-Services,,
classpathx-jaf,SBR-Tools,,
classpathx-mail,SBR-Tools,,
clutter,SBR-Desktop,,
cmake,SBR-Tools,,
compat-dapl,(Mapped) SBR-Desktop,(Mapped) SBR-Tools
compat-db,SBR-Services,,
